"scenario_id","horizon","location_name","target_end_date","model_name","value"
2,2,"New York",2023-11-25,4,0
2,2,"Oregon",2023-11-25,4,1
2,2,"Tennessee",2023-11-25,4,0
2,2,"US",2023-11-25,4,0
2,2,"Utah",2023-11-25,4,0
2,2,"California",2023-11-25,5,1
2,2,"Colorado",2023-11-25,5,1
2,2,"Connecticut",2023-11-25,5,0
2,2,"Georgia",2023-11-25,5,0
2,2,"Maryland",2023-11-25,5,0
2,2,"Michigan",2023-11-25,5,0
2,2,"Minnesota",2023-11-25,5,0
2,2,"New Mexico",2023-11-25,5,0
2,2,"New York",2023-11-25,5,0
2,2,"Oregon",2023-11-25,5,0
2,2,"Tennessee",2023-11-25,5,0
2,2,"US",2023-11-25,5,0
2,2,"Utah",2023-11-25,5,0
2,2,"California",2023-11-25,6,0
2,2,"Colorado",2023-11-25,6,0
2,2,"Connecticut",2023-11-25,6,0
2,2,"Georgia",2023-11-25,6,0
2,2,"Maryland",2023-11-25,6,0
2,2,"Michigan",2023-11-25,6,0
2,2,"Minnesota",2023-11-25,6,0
2,2,"New Mexico",2023-11-25,6,0
2,2,"New York",2023-11-25,6,0
2,2,"Oregon",2023-11-25,6,0
2,2,"Tennessee",2023-11-25,6,0
2,2,"US",2023-11-25,6,0
2,2,"Utah",2023-11-25,6,0
2,2,"California",2023-11-25,7,0
2,2,"Colorado",2023-11-25,7,0
2,2,"Connecticut",2023-11-25,7,0
2,2,"Georgia",2023-11-25,7,0
2,2,"Maryland",2023-11-25,7,0
2,2,"Michigan",2023-11-25,7,0
2,2,"Minnesota",2023-11-25,7,0
2,2,"New Mexico",2023-11-25,7,0
2,2,"New York",2023-11-25,7,0
2,2,"Oregon",2023-11-25,7,0
2,2,"Tennessee",2023-11-25,7,1
2,2,"US",2023-11-25,7,0
2,2,"Utah",2023-11-25,7,0
3,2,"California",2023-11-25,1,1
3,2,"Colorado",2023-11-25,1,0.5
3,2,"Connecticut",2023-11-25,1,0.25
3,2,"Georgia",2023-11-25,1,0.75
3,2,"Maryland",2023-11-25,1,0
3,2,"Michigan",2023-11-25,1,0
3,2,"Minnesota",2023-11-25,1,1
3,2,"New Mexico",2023-11-25,1,0
3,2,"New York",2023-11-25,1,0
3,2,"Oregon",2023-11-25,1,0
3,2,"Tennessee",2023-11-25,1,1
3,2,"US",2023-11-25,1,0
3,2,"Utah",2023-11-25,1,0
3,2,"California",2023-11-25,2,0.75
3,2,"Colorado",2023-11-25,2,0.5
3,2,"Connecticut",2023-11-25,2,0.25
3,2,"Georgia",2023-11-25,2,0.75
3,2,"Maryland",2023-11-25,2,0
3,2,"Michigan",2023-11-25,2,0
3,2,"Minnesota",2023-11-25,2,0.75
3,2,"New Mexico",2023-11-25,2,0.25
3,2,"New York",2023-11-25,2,0
3,2,"Oregon",2023-11-25,2,0.625
3,2,"Tennessee",2023-11-25,2,0.75
3,2,"US",2023-11-25,2,0
3,2,"Utah",2023-11-25,2,0.375
3,2,"California",2023-11-25,4,1
3,2,"Colorado",2023-11-25,4,1
3,2,"Connecticut",2023-11-25,4,0
3,2,"Georgia",2023-11-25,4,0
3,2,"Maryland",2023-11-25,4,0
3,2,"Michigan",2023-11-25,4,0
3,2,"Minnesota",2023-11-25,4,1
3,2,"New Mexico",2023-11-25,4,0
3,2,"New York",2023-11-25,4,0
3,2,"Oregon",2023-11-25,4,1
3,2,"Tennessee",2023-11-25,4,1
3,2,"US",2023-11-25,4,0
3,2,"Utah",2023-11-25,4,0
3,2,"California",2023-11-25,5,0
3,2,"Colorado",2023-11-25,5,1
3,2,"Connecticut",2023-11-25,5,0
3,2,"Georgia",2023-11-25,5,0
3,2,"Maryland",2023-11-25,5,0
3,2,"Michigan",2023-11-25,5,0
3,2,"Minnesota",2023-11-25,5,1
3,2,"New Mexico",2023-11-25,5,0
3,2,"New York",2023-11-25,5,0
3,2,"Oregon",2023-11-25,5,0
3,2,"Tennessee",2023-11-25,5,1
3,2,"US",2023-11-25,5,0
3,2,"Utah",2023-11-25,5,0
3,2,"California",2023-11-25,6,1
3,2,"Colorado",2023-11-25,6,0
3,2,"Connecticut",2023-11-25,6,0
3,2,"Georgia",2023-11-25,6,1
3,2,"Maryland",2023-11-25,6,0
3,2,"Michigan",2023-11-25,6,0
3,2,"Minnesota",2023-11-25,6,1
3,2,"New Mexico",2023-11-25,6,1
3,2,"New York",2023-11-25,6,0
3,2,"Oregon",2023-11-25,6,0
3,2,"Tennessee",2023-11-25,6,1
3,2,"US",2023-11-25,6,0
3,2,"Utah",2023-11-25,6,0
3,2,"California",2023-11-25,7,1
3,2,"Colorado",2023-11-25,7,0
3,2,"Connecticut",2023-11-25,7,0
3,2,"Georgia",2023-11-25,7,1
3,2,"Maryland",2023-11-25,7,0
3,2,"Michigan",2023-11-25,7,0
3,2,"Minnesota",2023-11-25,7,0
3,2,"New Mexico",2023-11-25,7,0
3,2,"New York",2023-11-25,7,0
3,2,"Oregon",2023-11-25,7,0
3,2,"Tennessee",2023-11-25,7,0
3,2,"US",2023-11-25,7,0
3,2,"Utah",2023-11-25,7,0
4,2,"California",2023-11-25,1,0
4,2,"Colorado",2023-11-25,1,0
4,2,"Connecticut",2023-11-25,1,0
4,2,"Georgia",2023-11-25,1,1
4,2,"Maryland",2023-11-25,1,0
4,2,"Michigan",2023-11-25,1,0
4,2,"Minnesota",2023-11-25,1,0
4,2,"New Mexico",2023-11-25,1,0
4,2,"New York",2023-11-25,1,0
4,2,"Oregon",2023-11-25,1,0.5
4,2,"Tennessee",2023-11-25,1,0
4,2,"US",2023-11-25,1,0
4,2,"Utah",2023-11-25,1,0
4,2,"California",2023-11-25,2,0.25
4,2,"Colorado",2023-11-25,2,0.25
4,2,"Connecticut",2023-11-25,2,0.125
4,2,"Georgia",2023-11-25,2,0.875
4,2,"Maryland",2023-11-25,2,0
4,2,"Michigan",2023-11-25,2,0
4,2,"Minnesota",2023-11-25,2,0
4,2,"New Mexico",2023-11-25,2,0
4,2,"New York",2023-11-25,2,0
4,2,"Oregon",2023-11-25,2,0.375
4,2,"Tennessee",2023-11-25,2,0
4,2,"US",2023-11-25,2,0
4,2,"Utah",2023-11-25,2,0
4,2,"California",2023-11-25,4,0
4,2,"Colorado",2023-11-25,4,1
4,2,"Connecticut",2023-11-25,4,0
4,2,"Georgia",2023-11-25,4,0
4,2,"Maryland",2023-11-25,4,0
4,2,"Michigan",2023-11-25,4,0
4,2,"Minnesota",2023-11-25,4,0
4,2,"New Mexico",2023-11-25,4,0
4,2,"New York",2023-11-25,4,0
4,2,"Oregon",2023-11-25,4,1
4,2,"Tennessee",2023-11-25,4,0
4,2,"US",2023-11-25,4,0
4,2,"Utah",2023-11-25,4,0
4,2,"California",2023-11-25,5,1
4,2,"Colorado",2023-11-25,5,0
4,2,"Connecticut",2023-11-25,5,0
