"location","date","age_group","target","value"
"36","2023-12-02","5-17","cum hosp",146.50355
"35","2023-12-02","5-17","cum hosp",10.135036
"27","2023-12-02","5-17","cum hosp",22.172828
"26","2023-12-02","5-17","cum hosp",50.34464
"24","2023-12-02","5-17","cum hosp",30.899064
"13","2023-12-02","5-17","cum hosp",50.712453
"09","2023-12-02","5-17","cum hosp",25.273458
"08","2023-12-02","5-17","cum hosp",27.19647
"06","2023-12-02","5-17","cum hosp",127.56058
"US","2023-12-02","5-17","cum hosp",1455.584634
"49","2023-12-02","18-49","cum hosp",0
"47","2023-12-02","18-49","cum hosp",14.554405
"41","2023-12-02","18-49","cum hosp",19.931263
"36","2023-12-02","18-49","cum hosp",115.163398
"35","2023-12-02","18-49","cum hosp",0
"27","2023-12-02","18-49","cum hosp",9.386172
"26","2023-12-02","18-49","cum hosp",56.63784
"24","2023-12-02","18-49","cum hosp",37.713945
"13","2023-12-02","18-49","cum hosp",92.88486
"09","2023-12-02","18-49","cum hosp",55.834692
"08","2023-12-02","18-49","cum hosp",10.538872
"06","2023-12-02","18-49","cum hosp",187.735141
"US","2023-12-02","18-49","cum hosp",1668.91884
"49","2023-12-02","2-4","cum hosp",6.215968
"47","2023-12-02","2-4","cum hosp",47.64201
"41","2023-12-02","2-4","cum hosp",9.545828
"36","2023-12-02","2-4","cum hosp",416.483208
"35","2023-12-02","2-4","cum hosp",64.319486
"27","2023-12-02","2-4","cum hosp",63.040536
"26","2023-12-02","2-4","cum hosp",136.834464
"24","2023-12-02","2-4","cum hosp",66.566448
"13","2023-12-02","2-4","cum hosp",82.109232
"09","2023-12-02","2-4","cum hosp",55.950048
"08","2023-12-02","2-4","cum hosp",127.55754
"06","2023-12-02","2-4","cum hosp",330.354795
"US","2023-12-02","2-4","cum hosp",3864.383089
"49","2023-12-02","0-0.49","cum hosp",33.375485
"47","2023-12-02","0-0.49","cum hosp",143.7769
"41","2023-12-02","0-0.49","cum hosp",32.472132
"36","2023-12-02","0-0.49","cum hosp",506.80056
"35","2023-12-02","0-0.49","cum hosp",60.26119
"27","2023-12-02","0-0.49","cum hosp",112.738455
"26","2023-12-02","0-0.49","cum hosp",187.556765
"24","2023-12-02","0-0.49","cum hosp",139.180475
"13","2023-12-02","0-0.49","cum hosp",129.389867
"09","2023-12-02","0-0.49","cum hosp",58.1094
"08","2023-12-02","0-0.49","cum hosp",112.6890975
"06","2023-12-02","0-0.49","cum hosp",489.9842225
"US","2023-12-02","0-0.49","cum hosp",5664.627794
"49","2023-12-02","50-64","cum hosp",12.955059
"47","2023-12-02","50-64","cum hosp",88.43913
"41","2023-12-02","50-64","cum hosp",9.288792
"36","2023-12-02","50-64","cum hosp",174.526605
"35","2023-12-02","50-64","cum hosp",3.03556
"27","2023-12-02","50-64","cum hosp",16.174665
"26","2023-12-02","50-64","cum hosp",61.891035
"24","2023-12-02","50-64","cum hosp",111.75437
"13","2023-12-02","50-64","cum hosp",117.2148
"09","2023-12-02","50-64","cum hosp",54.533304
"08","2023-12-02","50-64","cum hosp",12.473076
"06","2023-12-02","50-64","cum hosp",264.85266
"US","2023-12-02","50-64","cum hosp",2703.829207
"49","2023-12-02","0-4","cum hosp",62.463832
"47","2023-12-02","0-4","cum hosp",269.604965
"41","2023-12-02","0-4","cum hosp",73.15627
"36","2023-12-02","0-4","cum hosp",1283.771004
"35","2023-12-02","0-4","cum hosp",243.381936
"27","2023-12-02","0-4","cum hosp",331.116378
"26","2023-12-02","0-4","cum hosp",556.272725
"24","2023-12-02","0-4","cum hosp",327.803828
"13","2023-12-02","0-4","cum hosp",328.4034
"09","2023-12-02","0-4","cum hosp",207.395194
"08","2023-12-02","0-4","cum hosp",435.40918
"06","2023-12-02","0-4","cum hosp",1302.191568
"US","2023-12-02","0-4","cum hosp",15868.830168
"49","2023-12-02","18-130","cum hosp",17.11241
"47","2023-12-02","18-130","cum hosp",263.638656
"41","2023-12-02","18-130","cum hosp",71.435217
"36","2023-12-02","18-130","cum hosp",861.73461
"35","2023-12-02","18-130","cum hosp",6.562268
"27","2023-12-02","18-130","cum hosp",79.602948
"26","2023-12-02","18-130","cum hosp",348.58472
"24","2023-12-02","18-130","cum hosp",411.642612
"13","2023-12-02","18-130","cum hosp",442.32051
"09","2023-12-02","18-130","cum hosp",309.236313
"08","2023-12-02","18-130","cum hosp",77.999043
"06","2023-12-02","18-130","cum hosp",1519.0379
"US","2023-12-02","18-130","cum hosp",11688.802695
"06","2023-12-02","0-0.99","cum hosp",706.3850635
"08","2023-12-02","0-0.99","cum hosp",211.798923
"09","2023-12-02","0-0.99","cum hosp",94.822345
"13","2023-12-02","0-0.99","cum hosp",174.123399
"24","2023-12-02","0-0.99","cum hosp",216.499119
"26","2023-12-02","0-0.99","cum hosp",332.4869925
"27","2023-12-02","0-0.99","cum hosp",183.191895
"35","2023-12-02","0-0.99","cum hosp",93.735
"36","2023-12-02","0-0.99","cum hosp",689.227287
"41","2023-12-02","0-0.99","cum hosp",41.749884
"47","2023-12-02","0-0.99","cum hosp",186.90997
"49","2023-12-02","0-0.99","cum hosp",45.512025
"US","2023-12-02","0-0.99","cum hosp",8658.998663
"06","2023-12-02","1-4","cum hosp",564.440745
"08","2023-12-02","1-4","cum hosp",218.384874
"09","2023-12-02","1-4","cum hosp",111.128073
"13","2023-12-02","1-4","cum hosp",150.689106
"24","2023-12-02","1-4","cum hosp",110.668908
"26","2023-12-02","1-4","cum hosp",222.542667
"27","2023-12-02","1-4","cum hosp",145.037346
"35","2023-12-02","1-4","cum hosp",149.041451
"36","2023-12-02","1-4","cum hosp",612.180708
"41","2023-12-02","1-4","cum hosp",30.634993
"47","2023-12-02","1-4","cum hosp",80.215997
"49","2023-12-02","1-4","cum hosp",15.646675
"US","2023-12-02","1-4","cum hosp",7065.607853
"06","2023-12-02","5-64","cum hosp",580.148381
"08","2023-12-02","5-64","cum hosp",50.208418
"09","2023-12-02","5-64","cum hosp",135.641454
"13","2023-12-02","5-64","cum hosp",260.812113
"24","2023-12-02","5-64","cum hosp",180.367379
"26","2023-12-02","5-64","cum hosp",168.873515
"27","2023-12-02","5-64","cum hosp",47.733665
"35","2023-12-02","5-64","cum hosp",13.170596
